#
# pacman -Qe

adminer 4.1.0-2
alsa-utils 1.0.28-1
apache 2.4.10-1
autoconf 2.69-2
automake 1.14.1-1
awesome 3.5.5-1
bash 4.3.030-1
bash-completion 2.1-5
binutils 2.24-8
bison 3.0.2-1
bzip2 1.0.6-5
chromium 39.0.2171.65-1
cmake 3.0.2-1
coreutils 8.23-1
cryptsetup 1.6.6-1
cyrus-sasl 2.1.26-7
device-mapper 2.02.112-1
dhcpcd 6.6.2-1
diffutils 3.3-2
dnsutils 9.9.2.P2-2
dropbox 2.10.51-1
dropbox-cli 1.6.2-4
e2fsprogs 1.42.12-1
fakeroot 1.20.2-1
file 5.20-2
filesystem 2014.10-3
filezilla 3.9.0.6-1
findutils 4.4.2-6
flex 2.5.39-1
gawk 4.1.1-1
gcc 4.9.2-1
gcc-libs 4.9.2-1
gettext 0.19.3-1
gimp 2.8.14-1
git 2.1.3-1
glibc 2.20-4
grep 2.21-1
groff 1.22.3-2
grub 1:2.02.beta2-5
gvfs 1.22.2-3
gzip 1.6-1
htop 1.0.3-2
imagemagick 6.9.0.0-1
iotop 0.6-2
iproute2 3.17.0-1
iputils 20121221-3
irssi 0.8.17-1
jfsutils 1.1.15-4
jreen 1.2.0-1
less 470-1
lftp 4.6.0-1
libechonest-git 20110215-1
libreoffice-fresh 4.3.4-1
libtool 2.4.2-15
licenses 20140629-1
links 2.8-1
linux 3.17.3-1
logrotate 3.8.8-2
lsof 4.88-2
lua-socket 3.0rc1-3
lvm2 2.02.112-1
m4 1.4.17-1
make 4.1-1
man-db 2.7.1-1
man-pages 3.75-1
mariadb 10.0.14-2
mc 4.8.13-1
mdadm 3.3.1-2
mesa-vdpau 10.3.4-1
mlocate 0.26-3
mosh 1.2.4-3
mpc 0.26-1
mpd 0.19.4-1
mpdscribble 0.22-9
multitail 6.2.1-1
mupdf 1.6-1
nano 2.2.6-3
ncmpcpp 0.6.1-2
netctl 1.9-1
ntfs-3g 2014.2.15-1
nvidia-304xx 304.123-9
openssh 6.7p1-1
osmo 0.2.12-2
pacman 4.1.2-7
patch 2.7.1-3
pciutils 3.2.1-1
pcmciautils 018-7
perl 5.20.1-1
php 5.6.3-1
php-apache 5.6.3-1
php-gd 5.6.3-1
php-intl 5.6.3-1
php-mcrypt 5.6.3-1
pidgin 2.10.11-1
pkg-config 0.28-2
postfix 2.11.3-1
procps-ng 3.3.10-1
proftpd 1:1.3.5-2
psmisc 22.21-2
qtkeychain 0.4-1
reiserfsprogs 3.6.24-1
rsync 3.1.1-2
rtorrent 0.9.4-1
rxvt-unicode 9.20-3
s-nail 14.7.8-1
samba 4.1.13-1
screen 4.2.1-3
scrot 0.8.13-1
sed 4.2.2-3
shadow 4.2.1-1
strace 4.9-1
subversion 1.8.10-1
sudo 1.8.11.p2-1
sxiv 1.3.1-1
sysfsutils 2.1.0-9
sysstat 11.0.0-2
systemd-sysvcompat 217-7
tar 1.28-1
texinfo 5.2-2
thunar 1.6.3-2
thunar-archive-plugin 0.3.1-4
thunderbird 31.2.0-1
ttf-dejavu 2.34-1
unrar 1:5.2.2-1
unzip 6.0-7
usbutils 008-1
util-linux 2.25.2-1
vi 1:050325-4
vicious 2.1.3-1
vim 7.4.525-1
vlc 2.1.5-5
websocketpp 0.4.0-1
wget 1.16-2
which 2.20-7
whois 5.2.1-1
wol 0.7.1-6
xfsprogs 3.2.1-1
xlockmore 5.44-2
xorg-server 1.16.2-1
xorg-server-utils 7.6-4
xorg-xinit 1.3.4-1
xsel 1.2.0-6
youtube-viewer 1:3.1.1-1
zip 3.0-4
